colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,minimum_order_qty,order_multiple
Boston Oak,Woodmatt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:24Z,Woodmatt,1,1
Portofino Stone,Smooth,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/portofino-stone/,2025-08-21T06:56:27Z,Smooth,1,1
White Cement,Smooth,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/white-cement/,2025-08-21T06:57:01Z,Smooth,1,1
Calacutta D'oro,Smooth,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/calacutta-doro/,2025-08-21T06:57:13Z,Smooth,1,1
Calacutta Grey,Smooth,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/calacutta-grey/,2025-08-21T06:57:25Z,Smooth,1,1
Grey Cement,Smooth,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/grey-cement/,2025-08-21T06:58:05Z,Smooth,1,1
Portland Stone,Smooth,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/portland-stone/,2025-08-21T06:58:23Z,Smooth,1,1
Dark Cement,Smooth,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/dark-cement/,2025-08-21T06:58:54Z,Smooth,1,1
Catalina Marble,Smooth,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/catalina-marble/,2025-08-21T06:59:04Z,Smooth,1,1
Athena Stone,Smooth,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/athena-stone/,2025-08-21T06:59:22Z,Smooth,1,1
Coastal Oak,Woodmatt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/coastal-oak/,2025-08-21T07:00:45Z,Woodmatt,1,1
Tasmanian Oak,Woodmatt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/tasmanian-oak/,2025-08-21T07:02:09Z,Woodmatt,1,1
Prime Oak,Woodmatt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/prime-oak/,2025-08-21T07:03:07Z,Woodmatt,1,1
Antico Oak,Woodmatt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/antico-oak/,2025-08-21T07:03:28Z,Woodmatt,1,1
Notaio Walnut,Woodmatt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/notaio-walnut/,2025-08-21T07:04:31Z,Woodmatt,1,1
Estella Oak,Woodmatt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/estella-oak/,2025-08-21T07:06:46Z,Woodmatt,1,1
Polar White,Matt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/polar-white/,2025-08-21T07:08:52Z,Matt,1,1
Blossom White,Matt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/blossom-white/,2025-08-21T07:11:27Z,Matt,1,1
Nouveau Grey,Matt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/nouveau-grey/,2025-08-21T07:37:31Z,Matt,1,1
Stone Grey,Matt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/stone-grey/,2025-08-21T07:38:31Z,Matt,1,1
Cinder,Matt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/cinder/,2025-08-21T07:41:35Z,Matt,1,1
Black,Matt,Alfresco Doors,,5mm Compact Laminate Insert,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/black/,2025-08-21T07:44:20Z,Matt,1,1
