colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,substrate,thickness,length,width,pack_size,minimum_order_qty,order_multiple
Boston Oak,Woodmatt,Architectural,57296,Steccawood 17x34x3600 MDF MR E0 Boston Oak Half Round,5,In stock at supply site,$24.46 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:02Z,Woodmatt,MDF,17,3600,34,15,5,1
Boston Oak,Woodmatt,Architectural,57299,Steccawood 17x34x3600 MDF MR E0 Boston Oak Cove,5,In stock at supply site,$24.46 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:03Z,Woodmatt,MDF,17,3600,34,15,5,1
Boston Oak,Woodmatt,Architectural,57290,Steccawood 17x38x3600 MDF MR E0 Boston Oak,5,Place order to confirm availability,$19.27 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:04Z,Woodmatt,MDF,17,3600,38,,5,1
Boston Oak,Woodmatt,Architectural,57291,Steccawood 31x31x3600 MDF MR E0 Boston Oak,5,In stock at supply site,$26.65 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:05Z,Woodmatt,MDF,31,3600,31,15,5,1
Boston Oak,Woodmatt,Architectural,57298,Steccawood 24x48x3600 MDF MR E0 Boston Oak Half Round,5,In stock at supply site,$35.94 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:06Z,Woodmatt,MDF,24,3600,48,15,5,1
Boston Oak,Woodmatt,Architectural,57294,Steccawood 50x100x3600 LDF MR E0 Boston Oak,5,In stock at supply site,$100.93 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:06Z,Woodmatt,LDF,50,3600,100,15,5,1
Boston Oak,Woodmatt,Architectural,57292,Steccawood 31x65x3600 MDF MR E0 Boston Oak,5,In stock at supply site,$36.56 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:07Z,Woodmatt,MDF,31,3600,65,15,5,1
Boston Oak,Woodmatt,Architectural,57295,Steccawood 40x100x3600 LDF MR E0 Boston Oak,5,In stock at supply site,$95.69 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:08Z,Woodmatt,LDF,40,3600,100,15,5,1
Boston Oak,Woodmatt,Architectural,57293,Steccawood 50x70x3600 LDF MR E0 Boston Oak,5,In stock at supply site,$70.69 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:09Z,Woodmatt,LDF,50,3600,70,15,5,1
Boston Oak,Woodmatt,Architectural,57297,Steccawood 31x62x3600 MDF MR E0 Boston Oak Half Round,5,In stock at supply site,$45.65 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:10Z,Woodmatt,MDF,31,3600,62,15,5,1
Boston Oak,Woodmatt,Architectural,57300,Steccawood 24x34x3600 MDF MR E0 Boston Oak Peak,5,In stock at supply site,$30.64 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:10Z,Woodmatt,MDF,24,3600,34,15 .,5,1
Marmo di Monte,Smooth,Architectural,56342,Steccawood 17x38x3600 MDF MR E0 Marmo di Monte,5,In stock at supply site,$19.27 Ea. (Excluding GST),https://www.polytec.com.au/colour/marmo-di-monte/,2025-08-21T06:54:26Z,Smooth,MDF,17,3600,38,,5,1
Marmo di Monte,Smooth,Architectural,56950,Steccawood 24x34x3600 MDF MR E0 Marmo di Monte Peak,5,Place order to confirm availability,$30.64 Ea. (Excluding GST),https://www.polytec.com.au/colour/marmo-di-monte/,2025-08-21T06:54:27Z,Smooth,MDF,24,3600,34,,5,1
Marmo di Monte,Smooth,Architectural,56343,Steccawood 31x31x3600 MDF MR E0 Marmo di Monte,5,In stock at supply site,$26.65 Ea. (Excluding GST),https://www.polytec.com.au/colour/marmo-di-monte/,2025-08-21T06:54:28Z,Smooth,MDF,31,3600,31,,5,1
