colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,substrate,thickness,length,width,pack_size,minimum_order_qty,order_multiple
Black,Matt,Board Commodity,474,Particle 162412 DS Black Matt MR,1,In stock at your branch,$118.11 Ea. (Excluding GST),https://www.polytec.com.au/colour/black/,2025-08-21T07:44:14Z,Matt,Particleboard,16,2400,1200,30,1,1
Black,Matt,Board Commodity,25232,Particle 163618 DS Black Matt MR,1,In stock at your branch,$265.74 Ea. (Excluding GST),https://www.polytec.com.au/colour/black/,2025-08-21T07:44:14Z,Matt,Particleboard,16,3600,1800,20,1,1
Black,Texture,Board Commodity,6639,Particle 162412 DS Black Texture MR,1,In stock at your branch,$118.11 Ea. (Excluding GST),https://www.polytec.com.au/colour/black/,2025-08-21T07:44:42Z,Texture,Particleboard,16,2400,1200,30,1,1
Black,Texture,Board Commodity,6650,Particle 163618 DS Black Texture MR,1,In stock at your branch,$265.74 Ea. (Excluding GST),https://www.polytec.com.au/colour/black/,2025-08-21T07:44:43Z,Texture,Particleboard,16,3600,1800,20 .,1,1
Black,Texture,Board Commodity,13399,Particle 162418 DS Black Texture MR,30,In stock at supply site,$177.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/black/,2025-08-21T07:44:44Z,Texture,Particleboard,16,2400,1800,30,30,30
Carcass,Matt,Board Commodity,662,Particle 162412 DS Carcass Matt MR,1,In stock at your branch,$62.35 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:47Z,Matt,Particleboard,16,2400,1200,30,1,1
Carcass,Matt,Board Commodity,1888,Particle 163618 DS Carcass Matt MR,20,In stock at your branch,$75.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:48Z,Matt,Particleboard,16,3600,1800,20 .,20,20
Carcass,Matt,Board Commodity,1876,Particle 162418 DS Carcass Matt MR,1,In stock at your branch,$93.53 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:49Z,Matt,Particleboard,16,2400,1800,30,1,1
Carcass,Matt,Board Commodity,9019,Particle 252412 DS Carcass Matt MR,1,In stock at your branch,$65.80 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:50Z,Matt,Particleboard,25,2400,1200,20,1,1
Carcass,Matt,Board Commodity,7487,Particle 163612 DS Carcass Matt MR,1,In stock at your branch,$93.53 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:51Z,Matt,Particleboard,16,3600,1200,30 .,1,1
Carcass,Matt,Board Commodity,12117,Particle 332412 DS Carcass Matt MR,1,In stock at your branch,$124.04 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:52Z,Matt,Particleboard,33,2400,1200,15,1,1
Carcass,Matt,Board Commodity,2283,Particle 253618 DS Carcass Matt MR,1,In stock at your branch,$148.06 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:52Z,Matt,Particleboard,25,3600,1800,15,1,1
Carcass,Matt,Board Commodity,6076,Particle 182412 DS Carcass Matt MR,1,In stock at your branch,$66.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:53Z,Matt,Particleboard,18,2400,1200,30,1,1
Carcass,Matt,Board Commodity,51405,Particle 122412 DS Carcass Matt MR,1,In stock at your branch,$52.33 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:54Z,Matt,Particleboard,12,2400,1200,30,1,1
Carcass,Matt,Board Commodity,50936,Particle 162712 DS Carcass Matt MR,30,Place order to confirm availability,$37.91 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:55Z,Matt,Particleboard,16,2700,1200,30,30,30
Carcass,Matt,Board Commodity,5563,Particle 163112 DS Carcass Matt MR,30,Place order to confirm availability,$43.74 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:56Z,Matt,Particleboard,16,3115,1200,30,30,30
Carcass,Matt,Board Commodity,13121,Particle 333618 DS Carcass Matt MR,1,In stock at your branch,$279.09 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:57Z,Matt,Particleboard,33,3600,1800,10,1,1
Carcass,Matt,Board Commodity,52973,Particle 092412 DS Carcass Matt MR,1,In stock at your branch,$47.32 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:57Z,Matt,Particleboard,9,2400,1200,50,1,1
Carcass,Matt,Board Commodity,3083,Particle 183618 DS Carcass Matt MR,1,In stock at your branch,$150.34 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:58Z,Matt,Particleboard,18,3600,1800,20,1,1
Carcass,Matt,Board Commodity,948,MDF 162412 DS Carcass Matt MR E0,30,In stock at your branch,$42.53 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:46:59Z,Matt,MDF,16,2400,1200,30,30,30
Carcass,Matt,Board Commodity,1892,Particle 162418 DS Carcass Matt STD,30,In stock at your branch,$81.43 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:00Z,Matt,Particleboard,16,2400,1800,30,30,30
Carcass,Matt,Board Commodity,754,MDF 092412 DS Carcass Matt MR E0,50,In stock at supply site,$67.71 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:01Z,Matt,MDF,9,2400,1200,50,50,50
Carcass,Matt,Board Commodity,1654,MDF 213112 SS Carcass Matt DOWN MR E0 LMG,20,In stock at supply site,$135.20 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:02Z,Matt,MDF,21,3115,1200,20 .,20,20
Carcass,Matt,Board Commodity,52427,Particle 32.8mm 3640 x 1830 SS Carcass Matt UP MR,12,Place order to confirm availability,$261.98 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:02Z,Matt,Particleboard,32.8,3640,1830,12 .,12,12
Carcass,Matt,Board Commodity,1632,MDF 182412 SS Carcass Matt DOWN MR E0 LMG,30,In stock at your branch,$90.29 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:03Z,Matt,MDF,18,2400,1200,30,30,30
Carcass,Matt,Board Commodity,1636,MDF 183112 SS Carcass Matt DOWN MR E0 LMG,30,Place order to confirm availability,$117.19 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:04Z,Matt,MDF,18,3115,1200,30,30,30
Carcass,Matt,Board Commodity,52428,Particle 38mm 3640 x 1830 SS Carcass Matt UP MR,10,In stock at supply site,$301.62 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:05Z,Matt,Particleboard,38,3640,1830,10 .,10,10
Carcass,Matt,Board Commodity,1954,Particle 182418 DS Carcass Matt MR,30,Place order to confirm availability,$100.22 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:06Z,Matt,Particleboard,18,2400,1800,30,30,30
Carcass,Matt,Board Commodity,962,MDF 182412 DS Carcass Matt MR E0,30,In stock at supply site,$44.93 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:07Z,Matt,MDF,18,2400,1200,30,30,30
Carcass,Matt,Board Commodity,1862,MDF 122412 DS Carcass Matt MR E0,30,In stock at supply site,$74.97 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:08Z,Matt,MDF,12,2400,1200,30 .,30,30
Carcass,Matt,Board Commodity,1644,MDF 163112 SS Carcass Matt DOWN MR E0 LMG,30,In stock at supply site,$100.81 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:08Z,Matt,MDF,16,3115,1200,30,30,30
Carcass,Matt,Board Commodity,1893,Particle 163618 DS Carcass Matt STD,20,In stock at your branch,$122.15 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:09Z,Matt,Particleboard,16,3600,1800,20 .,20,20
Carcass,Matt,Board Commodity,1702,MDF 252412 SS Carcass Matt DOWN MR E0,20,In stock at supply site,$127.07 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:10Z,Matt,MDF,25,2400,1200,20,20,20
Carcass,Matt,Board Commodity,1628,MDF 162412 SS Carcass Matt DOWN MR E0 LMG,30,In stock at supply site,$77.67 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:11Z,Matt,MDF,16,2400,1200,30,30,30
