colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,substrate,thickness,length,width,pack_size,minimum_order_qty,order_multiple
Carcass,Matt,Board Components,49175,Particle STD 161950447 DS Carcass Matt E1L,60,In stock at supply site,$24.69 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:12Z,Matt,Particleboard,16,1950,447,60,60,60
Carcass,Matt,Board Components,49196,Particle STD 161950447 DS Carcass Matt E1L - Half Drill - 37mm,60,In stock at supply site,$27.13 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:13Z,Matt,Particleboard,16,1950,447,60,60,60
Carcass,Matt,Board Components,52946,Particle STD 161200447 DS Carcass Matt E1L,60,Place order to confirm availability,$15.20 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:13Z,Matt,Particleboard,16,1200,447,60,60,60
Carcass,Matt,Board Components,49137,Particle STD 161500297 DS Carcass Matt E1L,60,In stock at supply site,$12.62 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:14Z,Matt,Particleboard,16,1500,297,60,60,60
Carcass,Matt,Board Components,49138,Particle STD 161500447 DS Carcass Matt E1L,60,In stock at your branch,$19.00 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:15Z,Matt,Particleboard,16,1500,447,60,60,60
Carcass,Matt,Board Components,49139,Particle STD 161680447 DS Carcass Matt E1L,60,In stock at your branch,$21.27 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:16Z,Matt,Particleboard,16,1680,447,60,60,60
Carcass,Matt,Board Components,49166,Particle STD 161808447 DS Carcass Matt E1L-Full Drill - 37mm,60,In stock at supply site,$28.92 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:17Z,Matt,Particleboard,16,1808,447,60 .,60,60
Carcass,Matt,Board Components,49167,Particle STD 161808447 DS Carcass Matt E1L-Half Drill -37mm,60,In stock at your branch,$25.15 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:18Z,Matt,Particleboard,16,1808,447,60,60,60
Carcass,Matt,Board Components,49177,Particle STD 161820095 DS Carcass Matt E1L,200,Place order to confirm availability,$6.05 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:19Z,Matt,Particleboard,16,1820,95,200,200,200
Carcass,Matt,Board Components,49173,Particle STD 16191447 DS Carcass Matt Edged AR,360,In stock at supply site,$3.67 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:19Z,Matt,Particleboard,16,191,447,360,360,360
Carcass,Matt,Board Components,49174,Particle STD 16191595 DS Carcass Matt Edged AR,360,In stock at supply site,$4.88 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:20Z,Matt,Particleboard,16,191,595,360,360,360
Carcass,Matt,Board Components,49197,Particle STD 161950447 DS Carcass Matt E1L - Half Drill Splay L&R - 37mm,60,In stock at supply site,$38.13 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:21Z,Matt,Particleboard,16,1950,447,60,60,60
Carcass,Matt,Board Components,49198,Particle STD 161950447 DS Carcass Matt E1L - Undrilled Splay,60,In stock at supply site,$30.21 Ea. (Excluding GST),https://www.polytec.com.au/colour/carcass/,2025-08-21T07:47:22Z,Matt,Particleboard,16,1950,447,60,60,60
