colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,substrate,thickness,length,width,pack_size,minimum_order_qty,order_multiple
Australian Native,Woodmatt,Board Decorative,57479,MDF 162412 DS Australian Native Woodmatt MR E0,1,In stock at supply site,$135.04 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T06:41:42Z,Woodmatt,MDF,16,2400,1200,30,1,1
Australian Native,Woodmatt,Board Decorative,57482,MDF 183618 DS Australian Native Woodmatt MR E0,1,In stock at your branch,$334.21 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T06:41:43Z,Woodmatt,MDF,18,3600,1800,20,1,1
Australian Native,Woodmatt,Board Decorative,57480,MDF 252412 DS Australian Native Woodmatt MR E0,1,In stock at your branch,$221.39 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T06:41:43Z,Woodmatt,MDF,25,2400,1200,20,1,1
Australian Native,Woodmatt,Board Decorative,57481,MDF 322412 DS Australian Native Woodmatt MR E0,1,In stock at supply site,$244.11 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T06:41:44Z,Woodmatt,MDF,32,2400,1200,15,1,1
Australian Native,Woodmatt,Board Decorative,57484,LDF 333618 DS Australian Native Woodmatt MR E0,1,In stock at your branch,$549.26 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T06:41:45Z,Woodmatt,LDF,33,3600,1800,10,1,1
Australian Native,Woodmatt,Board Decorative,57483,LDF 253618 DS Australian Native Woodmatt STD E0,1,In stock at your branch,$474.34 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T06:41:46Z,Woodmatt,LDF,25,3600,1800,15,1,1
Blonde Oak,Woodmatt,Board Decorative,57143,MDF 182412 DS Blonde Oak Woodmatt MR E0,1,Place order to confirm availability,$148.54 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T06:42:03Z,Woodmatt,MDF,18,2400,1200,30,1,1
Blonde Oak,Woodmatt,Board Decorative,57144,MDF 183112 DS Blonde Oak Woodmatt MR E0,1,In stock at supply site,$192.79 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T06:42:04Z,Woodmatt,MDF,18,3115,1200,30,1,1
Blonde Oak,Woodmatt,Board Decorative,57145,MDF 252412 DS Blonde Oak Woodmatt MR E0,1,In stock at supply site,$221.39 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T06:42:04Z,Woodmatt,MDF,25,2400,1200,20,1,1
Blonde Oak,Woodmatt,Board Decorative,58453,MDF 183618 DS Blonde Oak Woodmatt MR E0,1,In stock at your branch,$334.21 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T06:42:05Z,Woodmatt,MDF,18,3600,1800,20,1,1
