colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,substrate,thickness,length,width,pack_size,minimum_order_qty,order_multiple
Raw,Sanded,Board Raw,451989,MDF 16mm 2400 x 1200 MR E0,1,In stock at supply site,$39.66 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:51Z,Sanded,MDF,16,2400,1200,50,1,1
Raw,Sanded,Board Raw,451038,MDF 18mm 2400 x 1200 MR E0,1,In stock at your branch,$42.65 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:52Z,Sanded,MDF,18,2400,1200,45 .,1,1
Raw,Sanded,Board Raw,452789,MDF 18mm 3600 x 1200 MR E0,1,In stock at your branch,$63.97 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:53Z,Sanded,MDF,18,3600,1200,30 .,1,1
Raw,Sanded,Board Raw,150125,MDF 3mm 2400 x 1200 STD E0,1,In stock at your branch,$15.03 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:53Z,Sanded,MDF,3,2400,1200,200,1,1
Raw,Sanded,Board Raw,453340,MDF 18mm 3600 x 1800 MR E0,1,In stock at your branch,$95.95 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:54Z,Sanded,MDF,18,3600,1800,20,1,1
Raw,Sanded,Board Raw,452787,MDF 16mm 3600 x 1200 MR E0,1,In stock at your branch,$59.49 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:55Z,Sanded,MDF,16,3600,1200,35,1,1
Raw,Sanded,Board Raw,452780,MDF 9mm 2400 x 1200 MR E0,1,In stock at your branch,$42.54 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:56Z,Sanded,MDF,9,2400,1200,80,1,1
Raw,Sanded,Board Raw,112477,MDF 6mm 2400 x 1200 STD E0,1,In stock at your branch,$31.02 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:57Z,Sanded,MDF,6,2400,1200,120,1,1
Raw,Sanded,Board Raw,452794,MDF 32mm 2400 x 1200 MR E0,1,In stock at your branch,$122.92 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:58Z,Sanded,MDF,32,2400,1200,22,1,1
Raw,Sanded,Board Raw,452785,MDF 12mm 2400 x 1200 MR E0,1,In stock at your branch,$53.71 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:58Z,Sanded,MDF,12,2400,1200,60,1,1
Raw,Sanded,Board Raw,600009,MDF 32mm 3600 x 1200 MR E0,1,In stock at your branch,$184.38 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:45:59Z,Sanded,MDF,32,3600,1200,15,1,1
Raw,Sanded,Board Raw,452790,MDF 25mm 2400 x 1200 MR E0,1,In stock at supply site,$94.69 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:00Z,Sanded,MDF,25,2400,1200,30 .,1,1
Raw,Sanded,Board Raw,135677,MDF 16mm 2400 x 1200 STD E0,1,In stock at supply site,$37.05 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:01Z,Sanded,MDF,16,2400,1200,50,1,1
Raw,Sanded,Board Raw,452781,MDF 9mm 3600 x 1200 MR E0,1,In stock at supply site,$63.81 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:02Z,Sanded,MDF,9,3600,1200,60,1,1
Raw,Sanded,Board Raw,149251,MDF 16mm 2100 x 1200 STD E0,50,Place order to confirm availability,$32.42 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:02Z,Sanded,MDF,16,2100,1200,50,50,50
Raw,Sanded,Board Raw,450357,MDF 16mm 2400 x 1200 MR E0 LMG,50,In stock at supply site,$60.71 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:03Z,Sanded,MDF,16,2400,1200,50,50,50
Raw,Sanded,Board Raw,453222,MDF 16mm 3115 x 1200 MR E0 LMG,50,In stock at supply site,$78.80 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:04Z,Sanded,MDF,16,3115,1200,50,50,50
Raw,Sanded,Board Raw,601337,MDF 18mm 3600 x 1200 MR E0 LMG,30,Place order to confirm availability,$105.19 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:05Z,Sanded,MDF,18,3600,1200,30,30,30
Raw,Sanded,Board Raw,601338,MDF 21mm 3115 x 1200 MR E0 LMG,35,In stock at supply site,$108.81 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:06Z,Sanded,MDF,21,3115,1200,35,35,35
Raw,Sanded,Board Raw,440766,MDF 3mm 2400 x 1800 STD E0,150,In stock at supply site,$22.55 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:06Z,Sanded,MDF,3,2400,1800,150,150,150
Raw,Sanded,Board Raw,132474,MDF 32mm 2700 x 1200 STD E0,22,In stock at supply site,$127.30 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:07Z,Sanded,MDF,32,2700,1200,22,22,22
Raw,Sanded,Board Raw,137060,MDF 32mm 3600 x 600 STD E0,20,In stock at supply site,$84.87 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:08Z,Sanded,MDF,32,3600,600,20,20,20
Raw,Sanded,Board Raw,125487,MDF 4mm 2400 x 1200 STD E0,200,In stock at supply site,$15.41 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:09Z,Sanded,MDF,4,2400,1200,200,200,200
Raw,Sanded,Board Raw,119052,MDF 9mm 2100 x 1200 STD E0,80,Place order to confirm availability,$40.45 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:10Z,Sanded,MDF,9,2100,1200,80,80,80
Raw,Sanded,Board Raw,143901,MDF 9mm 2700 x 1200 STD E0,80,Place order to confirm availability,$44.19 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:10Z,Sanded,MDF,9,2700,1200,80,80,80
Raw,Sanded,Board Raw,601431,MDF 9mm 3300 x 1200 MR E0,80,In stock at supply site,$58.49 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:11Z,Sanded,MDF,9,3300,1200,80,80,80
Raw,Sanded,Board Raw,452786,MDF 12mm 3600 x 1200 MR E0,1,In stock at supply site,$80.57 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:12Z,Sanded,MDF,12,3600,1200,50,1,1
Raw,Sanded,Board Raw,452792,MDF 25mm 3600 x 1200 MR E0,1,Place order to confirm availability,$142.04 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:13Z,Sanded,MDF,25,3600,1200,20,1,1
Raw,Sanded,Board Raw,1829,Particle 16mm 2400 x 1200 MR,1,In stock at supply site,$44.73 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:14Z,Sanded,Particleboard,16,2400,1200,50 .,1,1
Raw,Sanded,Board Raw,112507,MDF 18mm 2400 x 1200 STD E0,1,In stock at your branch,$61.29 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:15Z,Sanded,MDF,18,2400,1200,45,1,1
Raw,Sanded,Board Raw,601331,MDF 16mm 3600 x 1800 MR E0,1,In stock at your branch,$89.23 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:15Z,Sanded,MDF,16,3600,1800,20 .,1,1
Raw,Sanded,Board Raw,1185,Particle 18mm 2400 x 1200 MR,1,In stock at your branch,$53.65 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:16Z,Sanded,Particleboard,18,2400,1200,45,1,1
Raw,Sanded,Board Raw,109376,MDF 12mm 2400 x 1200 STD E0,1,In stock at your branch,$46.02 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:17Z,Sanded,MDF,12,2400,1200,60,1,1
Raw,Sanded,Board Raw,137356,MDF 32mm 2400 x 1200 STD E0,1,Place order to confirm availability,$113.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:18Z,Sanded,MDF,32,2400,1200,22,1,1
Raw,Sanded,Board Raw,149960,MDF 16mm 3600 x 1200 STD E0,1,Place order to confirm availability,$55.58 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:19Z,Sanded,MDF,16,3600,1200,35,1,1
Raw,Sanded,Board Raw,120396,MDF 12mm 3600 x 1200 STD E0,1,In stock at your branch,$69.03 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:19Z,Sanded,MDF,12,3600,1200,50,1,1
Raw,Sanded,Board Raw,1844,Particle 32.8mm 2400 x 1200 MR,1,In stock at your branch,$96.65 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:20Z,Sanded,Particleboard,32.8,2400,1200,25,1,1
Raw,Sanded,Board Raw,132154,MDF 25mm 2400 x 1200 STD E0,1,In stock at your branch,$86.54 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:21Z,Sanded,MDF,25,2400,1200,30,1,1
Raw,Sanded,Board Raw,601327,MDF 9mm 2700 x 1200 MR E0,1,In stock at supply site,$47.85 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:22Z,Sanded,MDF,9,2700,1200,80,1,1
Raw,Sanded,Board Raw,1838,Particle 25mm 2400 x 1200 MR,1,In stock at your branch,$75.43 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:23Z,Sanded,Particleboard,25,2400,1200,30,1,1
Raw,Sanded,Board Raw,452859,MDF 9mm 2400 x 1200 STD E0,1,In stock at your branch,$39.28 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:23Z,Sanded,MDF,9,2400,1200,80,1,1
Raw,Sanded,Board Raw,53057,Particle 18mm 3600 x 1800 MR (Pack 20),20,In stock at supply site,$120.72 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:24Z,Sanded,Particleboard,18,3600,1800,20 .,20,20
Raw,Sanded,Board Raw,601339,MDF 25mm 2700 x 1200 MR E0,30,In stock at your branch,$106.53 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:25Z,Sanded,MDF,25,2700,1200,30 .,30,30
Raw,Sanded,Board Raw,601333,MDF 18mm 2700 x 1200 MR E0,45,In stock at supply site,$47.98 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:26Z,Sanded,MDF,18,2700,1200,45,45,45
Raw,Sanded,Board Raw,50247,Particle 9mm 2400 x 1200 MR,1,Place order to confirm availability,$30.12 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:27Z,Sanded,Particleboard,9,2400,1200,50,1,1
Raw,Sanded,Board Raw,600986,MDF 18mm 3115 x 1200 MR E0,45,In stock at supply site,$55.35 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:28Z,Sanded,MDF,18,3115,1200,45 .,45,45
Raw,Sanded,Board Raw,1842,Particle 25mm 3600 x 1800 MR,20,Place order to confirm availability,$169.71 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:28Z,Sanded,Particleboard,25,3600,1800,20 .,20,20
Raw,Sanded,Board Raw,452788,MDF 16mm 2400 x 1800 MR E0,30,In stock at supply site,$59.49 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:29Z,Sanded,MDF,16,2400,1800,30,30,30
Raw,Sanded,Board Raw,52980,Particle 32.8mm 3660 x 1840 MR,12,In stock at supply site,$226.01 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:30Z,Sanded,Particleboard,32.8,3660,1840,12 .,12,12
Raw,Sanded,Board Raw,48466,MDF 21mm 3600 x 1200 MR E0 LMG,25,In stock at supply site,$125.76 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:31Z,Sanded,MDF,21,3600,1200,25 .,25,25
Raw,Sanded,Board Raw,452793,MDF 25mm 2400 x 1800 MR E0,20,Place order to confirm availability,$142.04 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:32Z,Sanded,MDF,25,2400,1800,20 .,20,20
Raw,Sanded,Board Raw,48790,Particle 12mm 2400 x 1200 MR,1,Place order to confirm availability,$37.64 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:32Z,Sanded,Particleboard,12,2400,1200,60,1,1
Raw,Sanded,Board Raw,112229,MDF 18mm 2700 x 1200 STD E0,45,Place order to confirm availability,$68.95 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:33Z,Sanded,MDF,18,2700,1200,45 .,45,45
Raw,Sanded,Board Raw,601430,MDF 9mm 3000 x 1200 MR E0,80,Place order to confirm availability,$53.17 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:34Z,Sanded,MDF,9,3000,1200,80 .,80,80
Raw,Sanded,Board Raw,601328,MDF 12mm 2700 x 1200 MR E0,60,In stock at supply site,$60.43 Ea. (Excluding GST),https://www.polytec.com.au/colour/raw/,2025-08-21T07:46:35Z,Sanded,MDF,12,2700,1200,60,60,60
