colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,substrate,thickness,length,width,pack_size,minimum_order_qty,order_multiple
Australian Native,Woodmatt,Compact,57889,Compact Laminate Australian Native Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T06:41:52Z,Woodmatt,PRC,13,3670,1840,15,1,1
Boston Oak,Woodmatt,Compact,55215,Compact Laminate Boston Oak Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:01Z,Woodmatt,PRC,13,3670,1840,15,1,1
Boston Oak,Woodmatt,Compact,55439,Compact Laminate Boston Oak Woodmatt BC 3660x1830 5mm,1,In stock at supply site,$620.48 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:02Z,Woodmatt,PRC,5,3670,1840,40,1,1
Dark Batten Oak,Woodmatt,Compact,57457,Compact Laminate Dark Batten Oak Woodmatt BC 3660x1830 5mm,1,In stock at supply site,$620.48 Ea. (Excluding GST),https://www.polytec.com.au/colour/dark-batten-oak/,2025-08-21T06:46:30Z,Woodmatt,PRC,5,3660,1830,40 .,1,1
Batten Oak,Woodmatt,Compact,56260,Compact Laminate Batten Oak Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/batten-oak/,2025-08-21T06:46:39Z,Woodmatt,PRC,13,3670,1840,15,1,1
Batten Oak,Woodmatt,Compact,56715,Compact Laminate Batten Oak Woodmatt BC 3660x1830 5mm,1,In stock at supply site,$620.48 Ea. (Excluding GST),https://www.polytec.com.au/colour/batten-oak/,2025-08-21T06:46:40Z,Woodmatt,PRC,5,3670,1840,40,1,1
Aston White,Smooth,Compact,52501,Compact Laminate Aston White Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/aston-white/,2025-08-21T06:47:13Z,Smooth,PRC,13,3670,1840,15,1,1
Verdelho,Smooth,Compact,52503,Compact Laminate Verdelho Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/verdelho/,2025-08-21T06:47:53Z,Smooth,PRC,13,3670,1840,15,1,1
Agave,Smooth,Compact,52504,Compact Laminate Agave Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/agave/,2025-08-21T06:48:40Z,Smooth,PRC,13,3670,1840,15,1,1
Topiary,Smooth,Compact,56205,Compact Laminate Topiary Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/topiary/,2025-08-21T06:49:03Z,Smooth,PRC,13,3670,1840,15,1,1
Habitat,Smooth,Compact,56206,Compact Laminate Habitat Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/habitat/,2025-08-21T06:50:18Z,Smooth,PRC,13,3670,1840,15,1,1
Natural Ply,Woodmatt,Compact,52505,Compact Laminate Natural Ply Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/natural-ply/,2025-08-21T06:52:15Z,Woodmatt,PRC,13,3660,1830,15,1,1
Black Ply,Woodmatt,Compact,52965,Compact Laminate Black Ply Woodmatt BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/black-ply/,2025-08-21T06:53:36Z,Woodmatt,PRC,13,3670,1840,15,1,1
Marmo di Monte,Smooth,Compact,52172,Compact Laminate Marmo di Monte Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/marmo-di-monte/,2025-08-21T06:54:25Z,Smooth,PRC,13,3670,1840,15,1,1
Marmo di Torre,Smooth,Compact,52171,Compact Laminate Marmo di Torre Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/marmo-di-torre/,2025-08-21T06:54:38Z,Smooth,PRC,13,3670,1840,15,1,1
Tivoli Ceppo,Smooth,Compact,52147,Compact Laminate Tivoli Ceppo Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/tivoli-ceppo/,2025-08-21T06:54:51Z,Smooth,PRC,13,3670,1840,15,1,1
Roman Ceppo,Smooth,Compact,52148,Compact Laminate Roman Ceppo Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/roman-ceppo/,2025-08-21T06:55:02Z,Smooth,PRC,13,3670,1840,15,1,1
Vesuvius Ceppo,Smooth,Compact,52149,Compact Laminate Vesuvius Ceppo Smooth BC 3660x1830 13mm,1,In stock at supply site,$1240.16 Ea. (Excluding GST),https://www.polytec.com.au/colour/vesuvius-ceppo/,2025-08-21T06:55:07Z,Smooth,PRC,13,3670,1840,15,1,1
