colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width
Australian Native,Woodmatt,Edgetape Decorative,57474,ABS 1mm x 21mm UG 100m Australian Native Woodmatt,1,In stock at supply site,$87.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T04:49:41Z,Woodmatt,1,100,21
Australian Native,Woodmatt,Edgetape Decorative,57475,ABS 1mm x 21mm UG 20m Australian Native Woodmatt,1,In stock at supply site,$31.99 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T04:49:44Z,Woodmatt,1,20,21
Australian Native,Woodmatt,Edgetape Decorative,57478,ABS 1mm x 38mm UG 100m Australian Native Woodmatt,1,In stock at supply site,$137.35 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T04:49:47Z,Woodmatt,1,100,38
Australian Native,Woodmatt,Edgetape Decorative,57477,ABS 1mm x 29mm UG 100m Australian Native Woodmatt,1,In stock at your branch,$188.81 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T04:49:50Z,Woodmatt,1,100,29
Blonde Oak,Woodmatt,Edgetape Decorative,56872,ABS 1mm x 21mm UG 100m Blonde Oak Woodmatt,1,In stock at your branch,$87.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T04:50:47Z,Woodmatt,1,100,21
Blonde Oak,Woodmatt,Edgetape Decorative,56873,ABS 1mm x 21mm UG 20m Blonde Oak Woodmatt,1,In stock at your branch,$31.99 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T04:50:50Z,Woodmatt,1,20,21
Blonde Oak,Woodmatt,Edgetape Decorative,56875,ABS 1mm x 29mm UG 100m Blonde Oak Woodmatt,1,In stock at supply site,$188.81 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T04:50:53Z,Woodmatt,1,100,29
Blonde Oak,Woodmatt,Edgetape Decorative,57413,ABS 1mm x 38mm UG 100m Blonde Oak Woodmatt,1,In stock at supply site,$137.35 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T04:50:56Z,Woodmatt,1,100,38
Ecru Oak,Woodmatt,Edgetape Decorative,56868,ABS 1mm x 21mm UG 100m Ecru Oak Woodmatt,1,In stock at your branch,$87.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T04:51:37Z,Woodmatt,1,100,21
Ecru Oak,Woodmatt,Edgetape Decorative,56869,ABS 1mm x 21mm UG 20m Ecru Oak Woodmatt,1,In stock at your branch,$31.99 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T04:51:40Z,Woodmatt,1,20,21
Ecru Oak,Woodmatt,Edgetape Decorative,56871,ABS 1mm x 29mm UG 100m Ecru Oak Woodmatt,1,In stock at your branch,$188.81 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T04:51:44Z,Woodmatt,1,100,29
Ecru Oak,Woodmatt,Edgetape Decorative,57412,ABS 1mm x 38mm UG 100m Ecru Oak Woodmatt,1,In stock at supply site,$137.35 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T04:51:47Z,Woodmatt,1,100,38
Boston Oak,Woodmatt,Edgetape Decorative,52531,ABS 1mm x 21mm UG 100m Boston Oak Woodmatt,1,In stock at your branch,$87.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:52:36Z,Woodmatt,1,100,21
Boston Oak,Woodmatt,Edgetape Decorative,52529,ABS 1mm x 21mm UG 20m Boston Oak Woodmatt,1,In stock at your branch,$31.99 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:52:39Z,Woodmatt,1,20,21
Boston Oak,Woodmatt,Edgetape Decorative,52534,ABS 1mm x 38mm UG 100m Boston Oak Woodmatt,1,In stock at your branch,$137.35 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:52:42Z,Woodmatt,1,100,38
Boston Oak,Woodmatt,Edgetape Decorative,52533,ABS 1mm x 29mm UG 100m Boston Oak Woodmatt,1,In stock at your branch,$188.81 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:52:45Z,Woodmatt,1,100,29
Boston Oak,Woodmatt,Edgetape Decorative,57561,ABS 1mm x 55mm UG 100m Boston Oak Woodmatt,1,In stock at supply site,$222.19 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:52:48Z,Woodmatt,1,100,55
Boston Oak,Woodmatt,Edgetape Decorative,52532,ABS 1mm x 21mm UG 100m Boston Oak Woodmatt (Cross Cut),1,In stock at your branch,$87.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:52:51Z,Woodmatt,1,100,21
Boston Oak,Woodmatt,Edgetape Decorative,54611,ABS 1mm x 29mm UG 100m Boston Oak Woodmatt (Cross Cut),1,In stock at your branch,$188.81 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:52:55Z,Woodmatt,1,100,29
Laurel Oak,Woodmatt,Edgetape Decorative,56876,ABS 1mm x 21mm UG 100m Laurel Oak Woodmatt,1,In stock at supply site,$87.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:54:49Z,Woodmatt,1,100,21
Laurel Oak,Woodmatt,Edgetape Decorative,56877,ABS 1mm x 21mm UG 20m Laurel Oak Woodmatt,1,In stock at your branch,$31.99 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:54:52Z,Woodmatt,1,20,21
Laurel Oak,Woodmatt,Edgetape Decorative,56879,ABS 1mm x 29mm UG 100m Laurel Oak Woodmatt,1,In stock at supply site,$188.81 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:54:56Z,Woodmatt,1,100,29
Laurel Oak,Woodmatt,Edgetape Decorative,57414,ABS 1mm x 38mm UG 100m Laurel Oak Woodmatt,1,In stock at supply site,$137.35 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:54:59Z,Woodmatt,1,100,38
Botany Oak,Woodmatt,Edgetape Decorative,56880,ABS 1mm x 21mm UG 100m Botany Oak Woodmatt,1,In stock at your branch,$87.82 Ea. (Excluding GST),https://www.polytec.com.au/colour/botany-oak/,2025-08-21T04:55:40Z,Woodmatt,1,100,21
Botany Oak,Woodmatt,Edgetape Decorative,56881,ABS 1mm x 21mm UG 20m Botany Oak Woodmatt,1,In stock at your branch,$31.99 Ea. (Excluding GST),https://www.polytec.com.au/colour/botany-oak/,2025-08-21T04:55:43Z,Woodmatt,1,20,21
