colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width,minimum_order_qty,order_multiple
Australian Native,Woodmatt,Laminate,57473,Laminate Australian Native Woodmatt 0.7mm 3650x1220,1,Place order to confirm availability,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T06:41:51Z,Woodmatt,0.7,3650,1220,1,1
Grey Taj,Smooth,Laminate,57278,Laminate Grey Taj Smooth 0.7mm 3650x1360 - Film,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/grey-taj/,2025-08-21T06:41:53Z,Smooth,0.7,3650,1360,1,1
Grey Taj,Smooth,Laminate,57279,Laminate Grey Taj Smooth HL 0.7mm 3650x680 - Film,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/grey-taj/,2025-08-21T06:41:54Z,Smooth,0.7,3650,680,1,1
Grey Taj,Smooth,Laminate,57280,Laminate Grey Taj Smooth HS 0.7mm 1825x1360 - Film,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/grey-taj/,2025-08-21T06:41:55Z,Smooth,0.7,1825,1360,1,1
Grey Taj,Smooth,Laminate,57281,Laminate Grey Taj Smooth Q 1825 x 680 - Film,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/grey-taj/,2025-08-21T06:41:57Z,Smooth,0.7,1825,680,1,1
Taj Mahal,Smooth,Laminate,57274,Laminate Taj Mahal Smooth 0.7mm 3650x1360 - Film,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/taj-mahal/,2025-08-21T06:41:58Z,Smooth,0.7,3650,1360,1,1
Taj Mahal,Smooth,Laminate,57275,Laminate Taj Mahal Smooth HL 0.7mm 3650x680 - Film,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/taj-mahal/,2025-08-21T06:41:59Z,Smooth,0.7,3650,680,1,1
Taj Mahal,Smooth,Laminate,57277,Laminate Taj Mahal Smooth Q 1825 x 680 - Film,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/taj-mahal/,2025-08-21T06:42:00Z,Smooth,0.7,1825,680,1,1
Taj Mahal,Smooth,Laminate,57276,Laminate Taj Mahal Smooth HS 0.7mm 1825x1360 - Film,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/taj-mahal/,2025-08-21T06:42:01Z,Smooth,0.7,1825,1360,1,1
Blonde Oak,Woodmatt,Laminate,56805,Laminate Blonde Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T06:42:13Z,Woodmatt,0.7,3650,1360,1,1
Blonde Oak,Woodmatt,Laminate,56806,Laminate Blonde Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T06:42:14Z,Woodmatt,0.7,3650,680,1,1
Blonde Oak,Woodmatt,Laminate,56808,Laminate Blonde Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.73*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T06:42:15Z,Woodmatt,0.7,1825,680,1,1
Blonde Oak,Woodmatt,Laminate,56807,Laminate Blonde Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.47*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T06:42:16Z,Woodmatt,0.7,1825,1360,1,1
Ecru Oak,Woodmatt,Laminate,56801,Laminate Ecru Oak Woodmatt 0.7mm 3650x1360,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T06:42:32Z,Woodmatt,0.7,3650,1360,1,1
Ecru Oak,Woodmatt,Laminate,56802,Laminate Ecru Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T06:42:33Z,Woodmatt,0.7,3650,680,1,1
Ecru Oak,Woodmatt,Laminate,56804,Laminate Ecru Oak Woodmatt Q 0.7mm 1825x680,1,Place order to confirm availability,$58.73*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T06:42:34Z,Woodmatt,0.7,1825,680,1,1
Ecru Oak,Woodmatt,Laminate,56803,Laminate Ecru Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.47*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T06:42:35Z,Woodmatt,0.7,1825,1360,1,1
Boston Oak,Woodmatt,Laminate,52133,Laminate Boston Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:57Z,Woodmatt,0.7,3650,1360,1,1
Boston Oak,Woodmatt,Laminate,52535,Laminate Boston Oak Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:58Z,Woodmatt,0.7,3650,680,1,1
Boston Oak,Woodmatt,Laminate,52536,Laminate Boston Oak Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:42:59Z,Woodmatt,0.7,1825,1360,1,1
