colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,minimum_order_qty,order_multiple
Blonde Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T06:42:20Z,Woodmatt,1,1
Ecru Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T06:42:39Z,Woodmatt,1,1
Boston Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/boston-oak/,2025-08-21T06:43:15Z,Woodmatt,1,1
Laurel Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T06:43:43Z,Woodmatt,1,1
Botany Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/botany-oak/,2025-08-21T06:44:02Z,Woodmatt,1,1
Manor Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/manor-oak/,2025-08-21T06:44:21Z,Woodmatt,1,1
Hazel Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/hazel-oak/,2025-08-21T06:44:40Z,Woodmatt,1,1
Society Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/society-oak/,2025-08-21T06:45:00Z,Woodmatt,1,1
District Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/district-oak/,2025-08-21T06:45:19Z,Woodmatt,1,1
Bronzed Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/bronzed-oak/,2025-08-21T06:45:38Z,Woodmatt,1,1
Rubra Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/rubra-oak/,2025-08-21T06:45:58Z,Woodmatt,1,1
Blackened Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/blackened-oak/,2025-08-21T06:46:17Z,Woodmatt,1,1
Britannia,Super Matt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/britannia/,2025-08-21T06:46:22Z,Super Matt,1,1
Aston White,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/aston-white/,2025-08-21T06:47:18Z,Smooth,1,1
Gossamer White,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/gossamer-white/,2025-08-21T06:47:40Z,Smooth,1,1
Verdelho,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/verdelho/,2025-08-21T06:47:58Z,Smooth,1,1
Pallido,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/pallido/,2025-08-21T06:48:11Z,Smooth,1,1
Elemental Grey,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/elemental-grey/,2025-08-21T06:48:33Z,Smooth,1,1
Agave,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/agave/,2025-08-21T06:48:44Z,Smooth,1,1
Topiary,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/topiary/,2025-08-21T06:49:08Z,Smooth,1,1
Oasis,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/oasis/,2025-08-21T06:49:26Z,Smooth,1,1
Forage,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/forage/,2025-08-21T06:49:49Z,Smooth,1,1
Mercurio Grey,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/mercurio-grey/,2025-08-21T06:50:08Z,Smooth,1,1
Habitat,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/habitat/,2025-08-21T06:50:22Z,Smooth,1,1
Ferro,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/ferro/,2025-08-21T06:50:38Z,Smooth,1,1
Adriatic,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/adriatic/,2025-08-21T06:50:56Z,Smooth,1,1
Botanic,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/botanic/,2025-08-21T06:51:32Z,Smooth,1,1
Ligurian Walnut,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/ligurian-walnut/,2025-08-21T06:52:50Z,Woodmatt,1,1
Coastal Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/coastal-oak/,2025-08-21T07:00:40Z,Woodmatt,1,1
Tasmanian Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/tasmanian-oak/,2025-08-21T07:02:00Z,Woodmatt,1,1
Prime Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/prime-oak/,2025-08-21T07:02:58Z,Woodmatt,1,1
Florentine Walnut,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/florentine-walnut/,2025-08-21T07:05:04Z,Woodmatt,1,1
Estella Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/estella-oak/,2025-08-21T07:06:41Z,Woodmatt,1,1
Bottega Oak,Woodmatt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/bottega-oak/,2025-08-21T07:07:07Z,Woodmatt,1,1
Ultra White,Gloss,Thermolaminated Doors and Panels,,Style 1 - 3,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/ultra-white/,2025-08-21T07:07:54Z,Gloss,1,1
Ultra White,Matt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/ultra-white/,2025-08-21T07:07:58Z,Matt,1,1
Ultra White,Texture,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/ultra-white/,2025-08-21T07:08:03Z,Texture,1,1
Designer White,Texture,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/designer-white/,2025-08-21T07:08:22Z,Texture,1,1
Classic White,Ashgrain,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/classic-white/,2025-08-21T07:09:24Z,Ashgrain,1,1
Classic White,Gloss,Thermolaminated Doors and Panels,,Style 1 - 3,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/classic-white/,2025-08-21T07:09:28Z,Gloss,1,1
Classic White,Matt,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/classic-white/,2025-08-21T07:09:43Z,Matt,1,1
Classic White,Texture,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/classic-white/,2025-08-21T07:10:05Z,Texture,1,1
Blossom White,Smooth,Thermolaminated Doors and Panels,,Style 1 - 6,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/blossom-white/,2025-08-21T07:11:45Z,Smooth,1,1
Regal White Pearl,Gloss,Thermolaminated Doors and Panels,,Style 1 - 3,1,EMPTY,EMPTY,https://www.polytec.com.au/colour/regal-white-pearl/,2025-08-21T07:12:01Z,Gloss,1,1
