colour_name,finish,product_family,sku_code,title_raw,qty_used_for_checks,stock_result_raw,price_result_raw,product_url,checked_at_iso,finish_attr,thickness,length,width
Australian Native,Woodmatt,Laminate,57473,Laminate Australian Native Woodmatt 0.7mm 3650x1220,1,Place order to confirm availability,$210.19*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/australian-native/,2025-08-21T04:49:54Z,Woodmatt,0.7,3650,1220
Grey Taj,Smooth,Laminate,57278,Laminate Grey Taj Smooth 0.7mm 3650x1360 - Film,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/grey-taj/,2025-08-21T04:50:01Z,Smooth,0.7,3650,1360
Grey Taj,Smooth,Laminate,57279,Laminate Grey Taj Smooth HL 0.7mm 3650x680 - Film,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/grey-taj/,2025-08-21T04:50:04Z,Smooth,0.7,3650,680
Grey Taj,Smooth,Laminate,57280,Laminate Grey Taj Smooth HS 0.7mm 1825x1360 - Film,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/grey-taj/,2025-08-21T04:50:07Z,Smooth,0.7,1825,1360
Grey Taj,Smooth,Laminate,57281,Laminate Grey Taj Smooth Q 1825 x 680 - Film,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/grey-taj/,2025-08-21T04:50:10Z,Smooth,0.7,1825,680
Taj Mahal,Smooth,Laminate,57274,Laminate Taj Mahal Smooth 0.7mm 3650x1360 - Film,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/taj-mahal/,2025-08-21T04:50:15Z,Smooth,0.7,3650,1360
Taj Mahal,Smooth,Laminate,57275,Laminate Taj Mahal Smooth HL 0.7mm 3650x680 - Film,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/taj-mahal/,2025-08-21T04:50:18Z,Smooth,0.7,3650,680
Taj Mahal,Smooth,Laminate,57277,Laminate Taj Mahal Smooth Q 1825 x 680 - Film,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/taj-mahal/,2025-08-21T04:50:21Z,Smooth,0.7,1825,680
Taj Mahal,Smooth,Laminate,57276,Laminate Taj Mahal Smooth HS 0.7mm 1825x1360 - Film,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/taj-mahal/,2025-08-21T04:50:24Z,Smooth,0.7,1825,1360
Blonde Oak,Woodmatt,Laminate,56805,Laminate Blonde Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T04:50:59Z,Woodmatt,0.7,3650,1360
Blonde Oak,Woodmatt,Laminate,56806,Laminate Blonde Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T04:51:02Z,Woodmatt,0.7,3650,680
Blonde Oak,Woodmatt,Laminate,56808,Laminate Blonde Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.73*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T04:51:05Z,Woodmatt,0.7,1825,680
Blonde Oak,Woodmatt,Laminate,56807,Laminate Blonde Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.47*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/blonde-oak/,2025-08-21T04:51:08Z,Woodmatt,0.7,1825,1360
Ecru Oak,Woodmatt,Laminate,56801,Laminate Ecru Oak Woodmatt 0.7mm 3650x1360,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T04:51:50Z,Woodmatt,0.7,3650,1360
Ecru Oak,Woodmatt,Laminate,56802,Laminate Ecru Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T04:51:53Z,Woodmatt,0.7,3650,680
Ecru Oak,Woodmatt,Laminate,56804,Laminate Ecru Oak Woodmatt Q 0.7mm 1825x680,1,Place order to confirm availability,$58.73*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T04:51:56Z,Woodmatt,0.7,1825,680
Ecru Oak,Woodmatt,Laminate,56803,Laminate Ecru Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.47*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/ecru-oak/,2025-08-21T04:51:59Z,Woodmatt,0.7,1825,1360
Boston Oak,Woodmatt,Laminate,52133,Laminate Boston Oak Woodmatt 0.7mm 3650x1360,1,In stock at your branch,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:52:58Z,Woodmatt,0.7,3650,1360
Boston Oak,Woodmatt,Laminate,52535,Laminate Boston Oak Woodmatt HL 0.7mm 3650x680,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:53:01Z,Woodmatt,0.7,3650,680
Boston Oak,Woodmatt,Laminate,52536,Laminate Boston Oak Woodmatt HS 0.7mm 1825x1360,1,In stock at your branch,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:53:04Z,Woodmatt,0.7,1825,1360
Boston Oak,Woodmatt,Laminate,52537,Laminate Boston Oak Woodmatt Q 0.7mm 1825x680,1,Place order to confirm availability,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/boston-oak/,2025-08-21T04:53:07Z,Woodmatt,0.7,1825,680
Laurel Oak,Woodmatt,Laminate,56832,Laminate Laurel Oak Woodmatt 0.7mm 3650x1360,1,In stock at supply site,$234.30*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:55:02Z,Woodmatt,0.7,3650,1360
Laurel Oak,Woodmatt,Laminate,56833,Laminate Laurel Oak Woodmatt HL 0.7mm 3650x680,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:55:05Z,Woodmatt,0.7,3650,680
Laurel Oak,Woodmatt,Laminate,56835,Laminate Laurel Oak Woodmatt Q 0.7mm 1825x680,1,In stock at your branch,$58.57*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:55:08Z,Woodmatt,0.7,1825,680
Laurel Oak,Woodmatt,Laminate,56834,Laminate Laurel Oak Woodmatt HS 0.7mm 1825x1360,1,Place order to confirm availability,$117.16*1 Ea. (Excluding GST),https://www.polytec.com.au/colour/laurel-oak/,2025-08-21T04:55:11Z,Woodmatt,0.7,1825,1360
